Branch,Client,balance_account,balance
16301,81620,3317,125000
16302,81621,3317,451000
16303,81622,3317,12000
16304,81623,3317,83000
16305,81624,3317,26500
16306,81625,3317,83000
16307,81626,3317,86500
16308,81627,3317,87666.67
16309,81628,3317,117666.67
16310,81629,3317,147666.67
16311,81630,3317,177666.67
16312,81631,3317,207666.67
16313,81632,3317,237666.67
16314,81633,3317,267666.67
16315,81634,3317,297666.67
16316,81635,3317,327666.67
16317,81636,3317,357666.67
16318,81637,3317,387666.67
16319,81638,3317,329093.68
16320,81639,3317,344037.27
16321,81640,3317,358980.85
16322,81641,3317,373924.44
16323,81642,3317,388868.02
16324,81643,3317,403811.6
16325,81644,3317,418755.19
16326,81645,3317,433698.77
16327,81646,3317,448642.36
16328,81647,3317,463585.94
16329,81648,3317,478529.53
16330,81649,3317,493473.11
16331,81650,3317,508416.7
16332,81651,3317,523360.28
16333,81652,3317,538303.86
16334,81653,3317,553247.45
16335,81654,3317,568191.03
16336,81655,3317,583134.62
16337,81656,3317,598078.2
16338,81657,3317,613021.79
16339,81658,3317,627965.37
16340,81659,3317,642908.96
16341,81660,3317,657852.54
16342,81661,3317,672796.12
16343,81662,3317,687739.71
16344,81663,3317,702683.29
16345,81664,3317,717626.88
16346,81665,3317,732570.46
16347,81666,3317,747514.05
16348,81667,3317,762457.63
16349,81668,3317,777401.22
16350,81669,3317,792344.8
16351,81670,3317,807288.38
16352,81671,3317,822231.97
16353,81672,3317,837175.55
16354,81673,3317,852119.14
16355,81674,3317,867062.72
16356,81675,3317,882006.31
16357,81676,3317,896949.89
16358,81677,3317,911893.48
16359,81678,3317,926837.06
16360,81679,3317,941780.64
16361,81680,3317,956724.23
16362,81681,3317,971667.81
16363,81682,3317,986611.4
16364,81683,3317,1001554.98
16365,81684,3317,1016498.57
16366,81685,3317,1031442.15
16367,81686,3317,1046385.74
16368,81687,3317,1061329.32
16369,81688,3317,1076272.9
16370,81689,3317,1091216.49
16371,81690,3317,1106160.07
16372,81691,3317,1121103.66
16373,81692,3317,1136047.24
16374,81693,3317,1150990.83
16375,81694,3317,1165934.41
16376,81695,3317,1180878
16377,81696,3317,1195821.58
16378,81697,3317,1210765.16
16379,81698,3317,1225708.75
16380,81699,3317,1240652.33
16381,81700,3317,1255595.92
16382,81701,3317,1270539.5
16383,81702,3317,1285483.09
16384,81703,3317,1300426.67
16385,81704,3317,1315370.26
16386,81705,3317,1330313.84
16387,81706,3317,1345257.42
16388,81707,3317,1360201.01
16389,81708,3317,1375144.59
16390,81709,3317,1390088.18
16391,81710,3317,1405031.76
16392,81711,3317,1419975.35
16393,81712,3317,1434918.93
16394,81713,3317,1449862.52
16395,81714,3317,1464806.1
16396,81715,3317,1479749.68
16397,81716,3317,1494693.27
16398,81717,3317,1509636.85
16399,81718,3317,1524580.44
16400,81719,3317,1539524.02
16401,81720,3317,1554467.61
16402,81721,3317,1569411.19
16403,81722,3317,1584354.78
16404,81723,3317,1599298.36
16405,81724,3317,1614241.94
16406,81725,3317,1629185.53
16407,81726,3317,1644129.11
16408,81727,3317,1659072.7
16409,81728,3317,1674016.28
16410,81729,3317,1688959.87
16411,81730,3317,1703903.45
16412,81731,3317,1718847.04
16413,81732,3317,1733790.62
16414,81733,3317,1748734.2
16415,81734,3317,1763677.79
16416,81735,3317,1778621.37
16417,81736,3317,1793564.96
16418,81737,3317,1808508.54
16419,81738,3317,1823452.13
16420,81739,3317,1838395.71
16421,81740,3317,1853339.3
16422,81741,3317,1868282.88
16423,81742,3317,1883226.46
16424,81743,3317,1898170.05
16425,81744,3317,1913113.63
16426,81745,3317,1928057.22
16427,81746,3317,1943000.8
16428,81747,3317,1957944.39
16429,81748,3317,1972887.97
16430,81749,3317,1987831.56
16431,81750,3317,2002775.14
16432,81751,3317,2017718.72
16433,81752,3317,2032662.31
16434,81753,3317,2047605.89
16435,81754,3317,2062549.48
16436,81755,3317,2077493.06
16437,81756,3317,2092436.65
16438,81757,3317,2107380.23
16439,81758,3317,2122323.82
16440,81759,3317,2137267.4
